Class Decade,Date,Daytime/Nightime,Time,Class loc.,Location,Operator,Flight..,Direct/Stopover,Route,AC.Type,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Causes,Summary,Class time
1950s,11/16/1959,Nighttime,0:55,USA,Gulf of Mexico,National Airlines,967,Stopover,Tampa - New Orleans,Douglas DC-7B,N4891C,45355,42,36,6,42,36,6,0,Sabotage,"The aircraft crashed into the Gulf of Mexico at 29 degrees 13 minutes N, 88 degrees 40 minutes W or about 108 miles east-southeast of New Orleans, while on a flight from Tampa to New Orleans. Sabotage (explosion of a dynamite bomb aboard) was strongly suspected but could never be proven due to lack of physical evidence.  There is a possibility that there is a connection between this crash and the National Airlines crash of January 6, 1960. No one was charged in either case.",
1950s,11/24/1959,Nighttime,5:35,USA,"Chicago, Illinois",Trans World Airlines,595,Stopover,Chicago - Denver - Los Angeles,Lockheed L-1049H Super Constellation,N102R,4824,3,0,3,3,0,3,8,Pilot Error,"Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift.",
1950s,12/01/1959,Daytime,9:47,USA,"Willamsport, Pennsylvania",Allegheny Airlines,371,Direct,Harrisburg - Willamsport,Martin 202,N174A,9159,26,22,4,25,21,4,0,Mechanical Failure,"Crashed into Bald Eagle Mountain,13 miles south of Williamsport,  while on an ILS approach to Williamsport.  Probable accidental caging of the fluxgate compass leading to a erroneous heading indication. Captain's failure to execute a timely abandoned approach. There was one passenger who survived.",
1950s,12/22/1959,Nighttime,13:40,Brazil,"Rio de Janeiro, Brazil",VASP,233,Direct,Rio de Janeiro - Sao Paulo,Vickers Viscount 827 / Fokker T-21,PP-SRG / 0742,401,32,26,6,32,26,6,10,Pilot Error,"A midair collision took place between a Vickers Viscount and a Brazilian Air Force Fokker T-21 trainer, as the Viscount made an approach to land. The pilot of the trainer parachuted to safety. All 32 aboard the Viscount were killed when it crashed into several houses in the district of Ramos. Failure of both pilots to see and avoid each other. Apparently, the pilot of the trainer aircraft was not supposed to cross the approach path of the Viscount.",
1950s,12/24/1959,Nighttime,5:00,Indonesia,"Palembang, Indonesia",Garuda Indonesia Airlines,330,Direct,Palembang - Jakarta,Douglas C-47A,PK-GDV,13535,2,0,2,1,0,1,0,Mechanical Failure,"Shortly after takeoff the cargo plane lost the No. 2 engine, tried to return to the airport but crashed. Failure of the right engine, a lack of precaution on the part of the captain and marginal weather. A contributing factor may have been the overloaded condition of the aircraft, however, not to such an extent that it forced the aircraft to descend to a dangerously low altitude.",
1960s,01/06/1960,Nighttime,2:38,USA,"Wilmington/Bolivia, North Carolina",National Airlines,2511,Direct,New York - Miami,Douglas DC-6B,N8225H,43742/300,34,29,5,34,29,5,0,Sabotage,"The plane disintegrated in flight at 18,000 feet and crashed 1.5 miles northwest of Bolivia, North Carolina. Detonation of a dynamite bomb by means of dry cell batteries, in the vicinity of row 7, in the passenger cabin.  The plane continued to fly for a short time after which the fuselage came apart and the plane crashed in a ball of flames. Julian Frank, who had purchased 1 million dollars in insurance, was suspected of committing suicide by detonating the bomb in his lap or under his seat. There is a possibility Frank may have been an unwitting bomb carrier and that this bombing has something to do with the National Airlines crash of November, 16, 1959. No one was charged in either case.",
1960s,01/18/1960,Nighttime,22:19,USA,"Charles City, Virginia",Capital Airlines,20,Direct,Washington D.C. - Norfolk,Vickers Viscount 745D,N7462,217,50,46,4,50,46,4,0,Weather Conditions,"The aircraft crashed and burned in a wooded area, striking the ground in a level attitude. The delayed arming of the engine ice-protection systems while flying through icing conditions, causing eventual flame-out of the four engines. This condition existed for sufficient time to cause a drop in battery electrical energy, preventing the unfeathering and relighting of sufficient engines to maintain flight. The aircraft was then dived in an  effort to attain sufficient airspeed to drive the propellers out of the feathered positions by wind-milling.  At the same time, multiple attempts were made to relight one or more engines. Successful relights were either interrupted by auto-feather action initiated by premature advancing of the throttles prior to complete light up of an engine or prevented by insufficient battery electrical energy. No. 4 engine was eventually  relit and the crew had just successfully relit No. 3 engine when the aircraft crashed.",
1960s,01/19/1960,Nighttime,18:47,Turkey,"Ankara, Turkey",Scandinavian Airlines (SAS),871,Direct,Istanbul - Ankara,Sud Aviation Caravelle 1,OY-KRB,014/14,42,35,7,42,35,7,0,Unknow,"While on a flight from Istanbul to Ankara, Turkey the aircraft crashed while on approach to Esenboga Airport, 6 nm short of the runway. The aircraft struck the ground at an elevation of 3,500 ft, between the Ankara mountain range and the airport. An unintentional descent below the authorized minimum flight altitude during final approach to Esenboga Airport for reasons that could not be determined. The aircraft was named ""Orm Viking.""",
1960s,02/26/1960,Nighttime,16:57,Ukraine,"Lvov-Snilow,  Ukraine",Aeroflot,315,Stopover,Moscow - Kiev - Lviv,Antonov 10A,CCCP-11180,9401801,33,25,8,32,24,8,0,Weather Conditions,The plane crashed into a swamp short of the runway threshold. Icing of the horizontal stabilizer.,
1960s,03/17/1960,Daytime,15:25,USA,"Near Cannelton, 10 mile SE of Tell City, Indiana",Northwest Orient Airlines,710,Direct,Chicago - Miami,Lockheed 188C Electra,N121US,1057,63,57,6,63,57,6,0,Mechanical Failure,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.,
1960s,03/19/1960,Daytime,11:10,Colombia,"Cordoba, Colombia",SAMSA,901,Direct,San Andres - Medellin,Curtiss C-46,HK-516,2927/384,46,42,4,25,22,3,0,Pilot Error,"Forced landing after engine failure. The accident was attributed to an error in judgment by the pilot in deciding to land at an airport which was closed and where no radio aid was available. Contributing factors were intermittent overspeeding of propellers, adverse weather and no communication tower.",
1960s,04/19/1960,Nighttime,20:48,Colombia,"Bogota, Colombia",Lloyd Aereo Colombiano,503,Stopover,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51,44,7,37,31,6,0,Human Error,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.,
1960s,06/10/1960,Daytime,10:55,Georgia,"Nea Tkvarcheli, Georgia",Aeroflot,207,Direct,Kutaisi - Rostov-on-Don,Ilyushin IL-14P,CCCP-91571,7343107,31,24,7,31,24,7,0,Pilot Error,The plane crashed in hillside woods while en route. Poor organization and overseeing the preparation of the flight by the crew.,
1960s,06/10/1960,Nighttime,22:05,Australia,"Off  Mackay, Qld. Australia",Trans Australia Airlines,538,Direct,Rockhampton - MacKay,Fokker F-27 Friendship 100,VH-TFB,10112,29,25,4,29,25,4,0,Unknow,"The flight crashed into the sea, 7.5 miles from the airport after being in a holding pattern waiting for fog to lift.  Cause could not be determined.",
1960s,06/14/1960,Daytime,4:47,Alaska,"Mt. Gilbert, Alaska",Pacific Northern Airlines,201,Direct,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14,9,5,14,9,5,0,Human Error,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course.",
1960s,07/14/1960,Daytime,4:30,Phillipines,"Off Manila, Philippines",Northwest Orient Airlines,11-Jan,Direct,Okinawa - Manila,Douglas DC-7C,N292,45462/925,58,51,7,1,1,0,0,Mechanical Failure,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching.",
1960s,07/15/1960,Daytime,9:40,Ethiopia,"Near Jima, Ethiopia",Ethiopian Airlines,372,Direct,Bulchi - Jimma,Douglas DC-3,ET-T-18,12926,11,8,3,1,0,1,0,Pilot Error,"Crashed onto a mountainside at 9,000 ft. The pilot misjudged the weather conditions and continued to fly into deteriorating weather conditions while trying to maintain VFR. The pilot attempted to climb at a speed below the minimum safe climbing speed of the aircraft.",
1960s,07/20/1960,Daytime,12:30,Russia,"Near Syktyvkar, Russia",Aeroflot,613,Direct,Leningrad - Syktyvkar,Ilushin IL-14,CCCP-61696,147001035,23,19,4,23,19,4,0,Weather Conditions,Broke up in mid air after flying through a thunderstorm and experiencing heavy g loads.,
1960s,08/17/1960,Daytime,15:58,Ukraine,"Near Kiev, Ukraine",Aeroflot,36,Direct,Cairo - Moscow,Ilyushin IL-18B,CCCP-75705,189001702,34,27,7,34,27,7,0,Mechanical Failure,While en route the No. 4.engine caught fire.  The fire extinguishing system was ineffective and the fire spread to the wing after which the fuel tanks exploded and the plane crashed.,
1960s,08/29/1960,Daytime,6:47,Senegal,"Off Dakar, Senegal",Air France,343,Stopover,Paris - Dakar - Monrovia - Abidjan,Lockheed 1049G Super Constellation,F-BHBC,4622,63,55,8,63,55,8,0,Weather Conditions,"The aircraft crashed into the Atlantic Ocean after an unsuccessful landing attempt. Cause undetermined. Possible structural failure or loss of control due to turbulence, sensory illusion or distraction of the flight crew which could have been associated with a lightning strike.",
1960s,09/02/1960,Nighttime,17:10,Russia,"Near Zikhnovo, Russia",Aeroflot,804,Direct,"	Arkhangelsk - 	Cherepovets",Ilyushin IL-14P,CCCP-04200,1470 014 18,18,13,5,18,13,5,0,Weather Conditions,The plane flew into the side of Mt. Belaya in poor weather. Crew flew below minimums.,
1960s,09/07/1960,Daytime,9:40,Uruguay,"Near Salto, Uruguay",Aerolineas Argentinas,205,Direct,Asuncion - Buenos Aires,Douglas DC-6,LV-ADS,43031/127,31,25,6,31,25,6,0,Weather Conditions,"Crashed in a storm. Separation of propeller followed by disintegration of the aircraft. Overspeeding of No.3 propeller caused by irregular operation of the propeller governor, detachment of that propeller and impact with that of No.4 engine, followed by disintegration of the aircraft.",
1960s,09/19/1960,Daytime,6:02,Guam,"Agana, Guam, Mariana Islands",World Airways,830/18,Direct,Guam - Wake Island,Douglas DC-6AB,N90779,44914/646,94,86,8,80,73,7,0,Pilot Error,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.",
1960s,09/26/1960,Nighttime,23:40,Russia,"Moscow, Russia",Austrian Airlines,901,Direct,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37,31,6,31,26,5,0,Mechanical Failure,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.",
1960s,09/29/1960,Daytime,12:15,Italy,"Off Elba, Italy",United Arab Airlines,738,Direct,Geneva - Rome,Vickers Viscount 739B,SU-AKW,427,21,17,4,21,17,4,0,Weather Conditions,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.,
1960s,10/04/1960,Daytime,17:40,USA,"Boston, Massachusetts",Eastern Air Lines,375,Direct,Boston - Philadelphia,Lockheed 188A Electra,N5533,1062,72,67,5,62,59,3,0,Mechanical Failure,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery.",
1960s,10/14/1960,Daytime,15:50,Italy,"Elba, Italy",Itavia,115,Direct,Rome - Genoa,de Havilland DH-114 Heron 2,I-AOMA,14090,11,7,4,11,7,4,0,Unknow,Hit Mt. Capanne while en route.  Cause unknown.,
1960s,10/21/1960,Nighttime,21:14,Russia,"Ust-Orda, Russia",Aeroflot,5,Stopover,Moscow - Omsk - Irkutsk - Khabarovsk,Tupolev Tu-104A,CCCP-42452,96601701,3,0,3,3,0,3,0,Pilot Error,Crashed after a premature descent. The decision by the captain to perform a go-around was ccrrect but the very low pass above the runway was unacceptable.,
1960s,10/28/1960,Daytime,11:39,USA,"Near Missoula, Montana",Northwest Orient Airlines,104,Direct,Spokane - Missoula,Douglas C-54A-DC,N48762,10320,12,8,4,12,8,4,0,Pilot Error,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions.",
1960s,11/23/1960,Nighttime,18:45,Phillipines,"Manila, Philippines",Philippine Air Lines,26,Direct,Iloilo - Manila,Douglas DC-3,PI-C133,13397,33,29,4,33,29,4,0,Weather Conditions,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,
1960s,12/04/1960,Nighttime,22:53,Russia," Chernovo, Russia",Aeroflot,81,Direct,"	Syktyvkar - Moscow",Ilyushin 14M,"	 CCCP-52091",7342905,14,9,5,14,9,5,0,Mechanical Failure,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,
1960s,12/16/1960,Daytime,10:33,USA,"Staten Island / Brooklyn, New York",United Air Lines / Trans World Airlines,826/266,Direct,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013U/N6907C,45290 /4021,128,116,12,128,116,12,6,Pilot Error,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.",
1960s,12/22/1960,Daytime,12:31,Phillipines,"Cebu City, Philippines",Philippine Air Lines,S85,Direct,Cebu - Davao,Douglas DC-3,PI-C126,20593,37,34,3,28,26,2,0,Mechanical Failure,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.,
1960s,12/26/1960,Nighttime,19:42,Russia,"Near Ulyanovsk, Russia",Aeroflot,651,Direct,Kuibyshev - Ulyanovsk,Ilyushin IL-18A,CCCP-75651,188000405,17,13,4,17,13,4,0,Weather Conditions,Loss of control resulted after 40 degrees flaps was selected causing the plane to crash. Icing.,
1960s,01/03/1961,Daytime,7:40,Finland,"Koivulahti, Finland",Finnair,311,Direct,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25,22,3,25,22,3,0,Pilot Error,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.",
1960s,01/19/1961,Nighttime,20:25,USA,"New York, New York (Idlewild)",Aeronaves de Mexico,401,Direct,New York - Mexico City,McDonnell Douglas DC-8-21,XA-XAX,45432/105,106,97,9,4,0,4,0,Pilot Error,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on.",
1960s,01/24/1961,Daytime,10:48,Indonesia,"Mt. Burangrang, Indonesia",Garuda Indonesia Airlines,424,Direct,Jakarta - Bandung,Douglas DC-3,PK-GDI,19672,21,16,5,21,16,5,0,Pilot Error,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.,
1960s,02/03/1961,Nighttime,23:55,Indonesia,"Off Surabaya, Indonesia",Garuda Indonesia Airlines,542,Direct,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26,21,5,26,21,5,0,Unknow,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.,
1960s,02/15/1961,Daytime,10:05,Belgium,"Near Brussels, Belgium",Sabena,548,Direct,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72,61,11,72,61,11,1,Mechanical Failure,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.",
1960s,04/03/1961,Nighttime,23:57,Chile,"Llico, Chile",LAN,210,Direct,Temuco - Santiago,Douglas DC-3,CC-CLD-P210,9716,24,20,4,24,20,4,0,Weather Conditions,The plane crashed into La Gotera Hill while on approach to Santiago. The official cause is unknown.  Icing suspected. All members of the Green Cross Chilean soccer team killed. Wreckage found 54 years after the accident.,
1960s,05/10/1961,Nighttime,1:12,Algeria,"Ghadames, Algeria",Air France,406,Direct,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,F-BHBM,1027,78,69,9,78,69,9,0,Sabotage,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb.",
1960s,05/30/1961,Nighttime,1:20,Portugal,"Near Lisbon, Portugal",KLM Royal Dutch Airlines,897,Stopover,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,PH-DCL,45615,61,47,14,61,47,14,0,Mechanical Failure,"Five minutes after taking off from Lisbon, Portugal, the aircraft plunged into the Atlantic Ocean. There were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph. Either through inattentiveness or loss of an artificial horizon or other instrument malfunction, the aircraft went into a steep left bank from which recovery was not possible. Attitude of the aircraft at the moment of impact pointed to over correction.",
1960s,06/12/1961,Nighttime,4:11,Egypt,"Cairo, Egypt",KLM Royal Dutch Airlines,823,Direct,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36,29,7,20,17,3,0,Pilot Error,"Crashed into a hill  at night during the approach, 4 km short of the runway. Crew's neglect to cockpit duties. Pilot's inattention to his instruments.",
1960s,07/08/1961,Daytime,19:00,Russia,"	Sverdlovsk, Russia",Aeroflot,411,Direct,"	Kazan - 	Sverdlovsk",Ilyushin IL-14P,CCCP-41848,6341706,26,21,5,9,4,5,0,Human Error,The plane ran out of fuel and crash landed. Crew did not refuel at Kazan.,
1960s,07/10/1961,Daytime,10:43,Ukraine,"Odessa, Ukraine, USSR",Aeroflot,381,Direct,Leningrad - Odessa,Tupolev TU-104B,CCCP-42447,921004,85,76,9,1,1,0,0,Weather Conditions,Hit apporach lights while trying to land in heavy rain.,
1960s,07/11/1961,Daytime,11:36,USA,"Denver, Colorado",United Air Lines,859,Direct,Omaha - Denver,McDonnell Douglas DC-8-12,N8040U,45307,122,115,7,17,17,0,1,Pilot Error,"Following takeoff from Omaha, hydraulic difficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydraulic emergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydraulic emergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulic system. The driver of the maintenance truck was killed.",
1960s,07/12/1961,Nighttime,1:29,Morocco,"Casablanca, Morocco",Ceskoslovenske Aerolinie,511,Direct,Zurich - Rabat,Ilyushin IL-18B,OK-PAF,181002904,72,64,8,72,64,8,0,Pilot Error," On reaching Rabat, the plane was diverted to Casablanca because of poor ground visibility. Conditions at Casablanca were a little better but the plane overshot the runway on its first approach. With worsening conditions the pilot asked to land at the U.S. Air Force base at Nouasseur. While the tower was seeking permission, the pilot saw a window of opportunity and tried again to land at Casablanca. The aircraft crashed into a hillside and burned eight miles short of the runway.",
1960s,09/01/1961,Nighttime,2:05,USA,"Near Hinsdale, Illinois",Trans World Airlines,529,Stopover,Pittsburgh - Chicago - Las Vegas - Los Angeles,Lockheed 049 Constellation,N86511,2035,78,73,5,78,73,5,0,Pilot Error,The aircraft crashed and burned in a field 10 miles west of Midway Airport. The airliner had taken off from Midway headed for Las Vegas. Loss of a 5/16 inch steel bolt from the elevator boost system which caused the elevator to move to its full upward position creating a stall and loss of control of the aircraft.,
1960s,09/12/1961,Nighttime,22:09,Morocco,"Near Rabat, Morocco",Air France,2005,Direct,Paris - Rabat,Sud-Aviation Caravelle III,F-BJTB,68,77,71,6,77,71,6,0,Mechanical Failure,"The aircraft crashed and burned while attempting to land at Sale Airport. With its landing gear down and flaps partially extended, the plane struck the ground in a slight nose-down attitude. Possible misread altimeter.",
1960s,09/17/1961,Daytime,8:57,USA,"Chicago, Illinois",Northwest Orient Airlines,706,Direct,Chicago - Tampa,Lockheed 188C  Electra,N137US,1142,37,32,5,37,32,5,0,Mechanical Failure,"Takeoff and Initial climb appeared to be normal, but at approximately 200 feet a shallow turn to the right continued into a gradually increasing bank of about 85 to 90 degrees. While in the turn, the crew made a short, garbled transmission indicating alarm. During the latter part of the turn a gradual descent began and, two minutes after taking off, the aircraft struck the ground. Mechanical failure in the aileron primary control system due to an improper replacement of the aileron boost assembly, resulting in a loss of lateral control of the aircraft at an altitude too low to effect recovery.",
1960s,11/08/1961,Nighttime,21:24,USA,"Near Richmond, Virginia",Imperial Airways,201/8,Direct,Baltimore - Columbia SC,Lockheed C-69 Constellation,N2737A,1976,79,74,5,76,74,2,0,Human Error,"Flown under a military contract, several procedural errors by the crew caused the loss of 2 engines. After several more errors, the aircraft crashed into a wooded area. Most deaths from post-impact fire and CO.  Lack of command coordination and decision, faulty judgement and insufficient knowledge that led to an emergency situation. In addition there were faulty maintenance procedures. The carrier's license was revoked 6 weeks after the crash.",
1960s,11/21/1961,Daytime,11:55,New Zealand,"Mt Ruapehu, North Island, New Zealand",Bay of Plenty Airways,92,Stopover, Wellington - Rotorua - Tauranga.,Aero Commander 680F,ZK-BWA,437-109,6,5,1,6,5,1,0,Pilot Error,"The pilot flew too close to the summit of Mt Ruapehu and due either to turbulence or some pilot maneuver, the starboard propeller struck a rock outcrop on the mountain, bending the blade tips forward and causing vibration, which weakened the wing and led to its rapid structural failure of the aircraft.",
1960s,12/17/1961,Daytime,16:00,Russia,"Near Chebotovka, Russia",Aeroflot,245,Direct,Moscow - Adler,Ilyushin IL-18B,CCCP-75654,188000503,59,50,9,59,50,9,0,Pilot Error,The plane made an unconcrolled dive and crashed into a snow covered field. The flight engineer inadvertently caused the flaps to be selected to 40 degrees.,
1960s,03/01/1962,Daytime,10:09,USA,"Jamaica Bay, New York, New York",American Airlines,1,Direct,New York City - Los Angeles,Boeing B-707-123B,N7506A,17633/12,95,87,8,95,87,8,0,Mechanical Failure,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft.",
1960s,03/04/1962,Nighttime,18:20,Cameroon,"Douala, Cameroon",Caledonian Airways,153,Direct,Douala - Lisboa,Douglas DC-7C,G-ARUD,45160/754,111,101,10,111,101,10,0,Mechanical Failure,The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.  A jammed right elevator spring tab caused the crew to lose of control of the aircraft.,
1960s,03/06/1962,Daytime,14:15,South Africa,"Near Seymour, South Africa",South African Airways,512,Direct,Grahamtown - Queentown,Douglas DC-3,ZS-DJC,16189/32937,7,3,4,2,0,2,0,Pilot Error,"Crashed into a mountain. Error in judgement by the pilot-in-command who attempted a low visual flight, beneath the cloud base, near mountains, in deteriorating weather conditions.",
1960s,03/15/1962,Nighttime,0:30,Pacific,"Western Pacific Ocean, Philippine Sea",Flying Tiger Line,739/14,Stopover,"Travis AFB - Honolulu - Agana, Guam - Clark AFB -Saigon",Lockheed 1049H Super Constellation,N6921C,4817,107,96,11,107,96,11,0,Pilot Error,"Lost at sea while en route from Guam to the Philippines. The crew of the SS T.L. Lenzen supertanker sighted a midair explosion at 00:30 local time, from their position at 13 degrees 44' N, 134 degrees 49' E.  The subsequent search of over 144,000 square miles found nothing. Cause undetermined.",
1960s,03/15/1962,Nighttime,1:14,Alaska,"Adak, Alaska",Flying Tiger Line,7816,Direct,"Cold Bay, AK - Adak, AK",Lockheed 1049H Super Constellation,N6911C,4804,7,0,7,1,0,1,0,Pilot Error,"Crashed into a rock embankment, 328 ft. short of runway threshold while attempting to land on Runway 23 and after being warned by ATC that the plane was below the glidepath. The main gear and right wing separated from the plane and a fire ensued. The pilot's misjudgment of distance and altitude during the final approach.",
1960s,05/22/1962,Nighttime,21:21,USA,"Near Unionville, Missouri",Continental Airlines,11,Direct,"Chicago - Kansas City, MO",Boeing B-707-124,N70775,17611/49,45,37,8,45,37,8,0,Sabotage,"While en route from Chicago to Kansas City the airliner fell from FL 390 and crashed 6 miles north-northwest of Unionville, Missouri after an explosion aboard caused separation of the tail section. Detonation of a dynamite bomb in the right rear lavatory in the towel bin under the wash basin. This is the first case of sabotage on a commercial jet airliner. The bomb was believed to have been carried aboard by a passenger in a suicide-for-insurance plot. It was alleged Thomas Doty, recently arrested for armed robery, and insured for $300,00 put together the dynamite bomb and placed it in the lavatory.",
1960s,05/24/1962,Nighttime,18:53,Russia,"Bitter, Russia",Aeroflot,56,Direct,Bitter - Moscow,Li-2,CCCP-54997,23443509,21,17,4,20,16,4,0,Mechanical Failure,The plane lost an engine on take off and crashed 7 km southeast of the Airport.,
1960s,06/03/1962,Daytime,12:35,France,"Villeneuve-le-Roi, Val-de-Marne, France",Air France,7,Direct,Paris - New York City,Boeing B-707-328,F-BHSM,17920/159,132,122,10,130,122,8,0,Mechanical Failure,"During takeoff from Orly Airport, the nose rose for about 5 seconds and then dropped back down on the runway. Smoke streamed from the wheels as the crew tried to stop the aircraft but it ran off the runway and collided with the runway lights and a house. The only survivors were two stewardesses who were seated in the tail section which broke free in the crash. The aircraft's horizontal stabilizer was improperly trimmed due to a failure of the trim servo motor.",
